Name,Author,User Rating,Reviews,Genre,Price,Year
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2013
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,Non Fiction,7,2013
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,Fiction,12,2013
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,Non Fiction,6,2013
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,Non Fiction,17,2013
StrengthsFinder 2.0,Gallup,4.0,5069,Non Fiction,17,2013
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,Fiction,18,2013
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,Non Fiction,28,2013
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,Non Fiction,24,2013
The Book Thief,Markus Zusak,4.6,23148,Fiction,6,2013
The Day the Crayons Quit,Drew Daywalt,4.8,8922,Fiction,9,2013
The Fault in Our Stars,John Green,4.7,50482,Fiction,13,2013
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,Non Fiction,6,2013
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,Non Fiction,6,2013
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,Fiction,20,2013
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,Fiction,7,2013
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,Fiction,14,2013
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,Fiction,20,2013
The Official SAT Study Guide,The College Board,4.4,1201,Non Fiction,40,2013
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,Non Fiction,17,2013
The Very Hungry Caterpillar,Eric Carle,4.9,19546,Fiction,5,2013
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,Non Fiction,15,2013
To Kill a Mockingbird,Harper Lee,4.8,26234,Fiction,0,2013
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,Non Fiction,6,2013
Wonder,R. J. Palacio,4.8,21625,Fiction,9,2013
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,Fiction,30,2014
All the Light We Cannot See,Anthony Doerr,4.6,36348,Fiction,14,2014
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,Non Fiction,28,2014
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,Non Fiction,105,2014
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,6540,Fiction,22,2014
Divergent,Veronica Roth,4.6,27098,Fiction,15,2014
Divergent / Insurgent,Veronica Roth,4.5,17684,Fiction,6,2014
First 100 Words,Roger Priddy,4.7,17323,Non Fiction,4,2014
Frozen (Little Golden Book),RH Disney,4.7,3642,Fiction,0,2014
Gone Girl,Gillian Flynn,4.0,57271,Fiction,9,2014
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,Non Fiction,10,2014
How to Win Friends & Influence People,Dale Carnegie,4.7,25001,Non Fiction,11,2014
Humans of New York,Brandon Stanton,4.8,3490,Non Fiction,15,2014
If I Stay,Gayle Forman,4.3,7153,Fiction,9,2014
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2014
JOURNEY TO THE ICE P,RH Disney,4.6,978,Fiction,0,2014
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,Non Fiction,6,2014
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,Non Fiction,4,2014
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,Non Fiction,4,2014
Little Blue Truck,Alice Schertle,4.9,1884,Fiction,0,2014
Looking for Alaska,John Green,4.5,8491,Fiction,7,2014
Love You Forever,Robert Munsch,4.8,18613,Fiction,5,2014
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,Non Fiction,20,2014
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,Non Fiction,10,2014
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2014
